"repo_id","date","release_count","repo_group_id","repo_git","repo_path","repo_name","repo_added","repo_type","url","owner_id","description","primary_language","created_at","forked_from","updated_at","repo_archived_date_collected","repo_archived","tool_source","tool_version","data_source","data_collection_date","org_name"
150914,2012-03-09,1,25749,"https://github.com/php/pecl-mail-mailparse","github.com-php-pecl-mail-mailparse","pecl-mail-mailparse","2024-01-22 13:08:02","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2024-01-22 13:08:02","php"
150914,2015-12-23,1,25749,"https://github.com/php/pecl-mail-mailparse","github.com-php-pecl-mail-mailparse","pecl-mail-mailparse","2024-01-22 13:08:02","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2024-01-22 13:08:02","php"
150914,NA,8,25749,"https://github.com/php/pecl-mail-mailparse","github.com-php-pecl-mail-mailparse","pecl-mail-mailparse","2024-01-22 13:08:02","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2024-01-22 13:08:02","php"
150915,2003-10-14,1,25749,"https://github.com/php/pecl-file_formats-lzf","github.com-php-pecl-file_formats-lzf","pecl-file_formats-lzf","2024-01-22 13:08:02","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2024-01-22 13:08:02","php"
150915,2003-10-24,1,25749,"https://github.com/php/pecl-file_formats-lzf","github.com-php-pecl-file_formats-lzf","pecl-file_formats-lzf","2024-01-22 13:08:02","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2024-01-22 13:08:02","php"
150915,2003-10-25,1,25749,"https://github.com/php/pecl-file_formats-lzf","github.com-php-pecl-file_formats-lzf","pecl-file_formats-lzf","2024-01-22 13:08:02","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2024-01-22 13:08:02","php"
150915,2004-01-07,1,25749,"https://github.com/php/pecl-file_formats-lzf","github.com-php-pecl-file_formats-lzf","pecl-file_formats-lzf","2024-01-22 13:08:02","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2024-01-22 13:08:02","php"
150915,2004-08-13,2,25749,"https://github.com/php/pecl-file_formats-lzf","github.com-php-pecl-file_formats-lzf","pecl-file_formats-lzf","2024-01-22 13:08:02","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2024-01-22 13:08:02","php"
150915,2006-07-06,1,25749,"https://github.com/php/pecl-file_formats-lzf","github.com-php-pecl-file_formats-lzf","pecl-file_formats-lzf","2024-01-22 13:08:02","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2024-01-22 13:08:02","php"
150915,2008-07-01,1,25749,"https://github.com/php/pecl-file_formats-lzf","github.com-php-pecl-file_formats-lzf","pecl-file_formats-lzf","2024-01-22 13:08:02","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2024-01-22 13:08:02","php"
150915,2009-02-21,1,25749,"https://github.com/php/pecl-file_formats-lzf","github.com-php-pecl-file_formats-lzf","pecl-file_formats-lzf","2024-01-22 13:08:02","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2024-01-22 13:08:02","php"
150915,2009-03-02,1,25749,"https://github.com/php/pecl-file_formats-lzf","github.com-php-pecl-file_formats-lzf","pecl-file_formats-lzf","2024-01-22 13:08:02","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2024-01-22 13:08:02","php"
