month,unique_contributors,org_name
2020-05,4,php
2020-06,3,php
2020-07,4,php
2020-08,2,php
2020-09,2,php
2020-10,5,php
2020-11,5,php
2020-12,2,php
2021-01,5,php
2021-02,2,php
2021-03,1,php
2021-04,4,php
2021-05,2,php
2021-06,3,php
2021-07,3,php
2021-08,6,php
2021-09,3,php
2021-10,6,php
2021-12,5,php
2022-01,4,php
2022-02,3,php
2022-03,2,php
2022-04,1,php
2022-05,3,php
2022-06,5,php
2022-07,3,php
2022-09,3,php
2022-10,3,php
2022-11,1,php
2022-12,3,php
2023-01,2,php
2023-02,3,php
2023-03,4,php
2023-04,2,php
2023-06,2,php
2023-10,1,php
2023-11,1,php
2023-12,1,php
2024-01,1,php
2024-04,1,php
2012-01,19,prefix-dev
2012-02,22,prefix-dev
2012-03,23,prefix-dev
2012-04,17,prefix-dev
2012-05,15,prefix-dev
2012-06,18,prefix-dev
2012-07,26,prefix-dev
2012-08,27,prefix-dev
2012-09,16,prefix-dev
2012-10,22,prefix-dev
2012-11,21,prefix-dev
2012-12,9,prefix-dev
2013-01,36,prefix-dev
2013-02,28,prefix-dev
2013-03,27,prefix-dev
2013-04,32,prefix-dev
2013-05,28,prefix-dev
2013-06,21,prefix-dev
2013-07,16,prefix-dev
2013-08,18,prefix-dev
2013-09,18,prefix-dev
2013-10,24,prefix-dev
2013-11,13,prefix-dev
2013-12,18,prefix-dev
2014-01,17,prefix-dev
2014-02,15,prefix-dev
2014-03,20,prefix-dev
2014-04,18,prefix-dev
2014-05,10,prefix-dev
2014-06,23,prefix-dev
2014-07,20,prefix-dev
2014-08,15,prefix-dev
2014-09,15,prefix-dev
2014-10,29,prefix-dev
2014-11,17,prefix-dev
2014-12,8,prefix-dev
2015-01,18,prefix-dev
2015-02,21,prefix-dev
2015-03,17,prefix-dev
2015-04,22,prefix-dev
2015-05,12,prefix-dev
2015-06,10,prefix-dev
2015-07,20,prefix-dev
2015-08,13,prefix-dev
2015-09,13,prefix-dev
2015-10,22,prefix-dev
