month,active_repositories,org_name
2021-06,30,php
2021-07,25,php
2021-08,22,php
2021-09,29,php
2021-10,28,php
2021-11,22,php
2021-12,27,php
2022-01,27,php
2022-02,22,php
2022-03,25,php
2022-04,21,php
2022-05,23,php
2022-06,23,php
2022-07,20,php
2022-08,21,php
2022-09,21,php
2022-10,25,php
2022-11,23,php
2022-12,20,php
2023-01,19,php
2023-02,19,php
2023-03,20,php
2023-04,21,php
2023-05,22,php
2023-06,22,php
2023-07,22,php
2023-08,20,php
2023-09,23,php
2023-10,25,php
2023-11,29,php
2023-12,20,php
2024-01,30,php
2024-02,34,php
2024-03,25,php
2024-04,12,php
2019-07,1,prefix-dev
2020-02,1,prefix-dev
2020-04,1,prefix-dev
2020-05,1,prefix-dev
2020-06,1,prefix-dev
2020-07,1,prefix-dev
2020-08,1,prefix-dev
2020-09,1,prefix-dev
2020-10,1,prefix-dev
2020-11,1,prefix-dev
2020-12,1,prefix-dev
2021-01,2,prefix-dev
2021-02,2,prefix-dev
2021-03,2,prefix-dev
2021-04,2,prefix-dev
2021-05,2,prefix-dev
2021-06,2,prefix-dev
2021-07,2,prefix-dev
2021-08,2,prefix-dev
2021-09,2,prefix-dev
2021-10,2,prefix-dev
2021-11,2,prefix-dev
2021-12,2,prefix-dev
2022-01,2,prefix-dev
2022-02,2,prefix-dev
2022-03,3,prefix-dev
2022-04,3,prefix-dev
2022-05,3,prefix-dev
2022-06,3,prefix-dev
2022-07,3,prefix-dev
2022-08,3,prefix-dev
2022-09,3,prefix-dev
2022-10,3,prefix-dev
2022-11,4,prefix-dev
2022-12,3,prefix-dev
2023-01,3,prefix-dev
2023-02,2,prefix-dev
2023-03,3,prefix-dev
2023-04,4,prefix-dev
2023-05,5,prefix-dev
2023-06,5,prefix-dev
2023-07,6,prefix-dev
2023-08,3,prefix-dev
2023-09,5,prefix-dev
2023-10,7,prefix-dev
2023-11,8,prefix-dev
2023-12,6,prefix-dev
2024-01,8,prefix-dev
2024-02,10,prefix-dev
2024-03,8,prefix-dev
2024-04,9,prefix-dev
2012-02,1,pyca
2012-03,1,pyca
2012-04,1,pyca
2012-09,1,pyca
2013-02,2,pyca
2013-03,2,pyca
2013-04,2,pyca
2013-05,1,pyca
2013-08,2,pyca
2013-09,2,pyca
2013-10,4,pyca
2013-11,4,pyca
2013-12,2,pyca
2014-01,3,pyca
2014-02,4,pyca
2014-03,3,pyca
2014-04,3,pyca
2014-05,3,pyca
2014-06,4,pyca
2014-07,3,pyca
2014-08,5,pyca
2014-09,3,pyca
2014-10,3,pyca
2014-11,3,pyca
2014-12,4,pyca
2015-01,3,pyca
2015-02,3,pyca
2015-03,5,pyca
2015-04,4,pyca
2015-05,3,pyca
2015-06,3,pyca
2015-07,4,pyca
2015-08,3,pyca
2015-09,4,pyca
2015-10,4,pyca
2015-11,4,pyca
2015-12,5,pyca
2016-01,4,pyca
2016-02,4,pyca
2016-03,3,pyca
2016-04,4,pyca
2016-05,4,pyca
2016-06,4,pyca
2016-07,3,pyca
2016-08,3,pyca
2016-09,5,pyca
2016-10,4,pyca
2016-11,2,pyca
2016-12,4,pyca
2017-01,4,pyca
2017-02,5,pyca
2017-03,3,pyca
2017-04,5,pyca
2017-05,4,pyca
2017-06,5,pyca
2017-07,5,pyca
2017-08,5,pyca
2017-09,5,pyca
2017-10,6,pyca
2017-11,4,pyca
2017-12,5,pyca
2018-01,3,pyca
2018-02,5,pyca
2018-03,4,pyca
2018-04,3,pyca
2018-05,4,pyca
2018-06,6,pyca
2018-07,5,pyca
2018-08,4,pyca
2018-09,2,pyca
2018-10,5,pyca
2018-11,2,pyca
2018-12,4,pyca
2019-01,5,pyca
2019-02,5,pyca
2019-03,4,pyca
2019-04,4,pyca
2019-05,6,pyca
2019-06,6,pyca
2019-07,3,pyca
2019-08,2,pyca
2019-09,2,pyca
2019-10,5,pyca
2019-11,3,pyca
2019-12,3,pyca
2020-01,4,pyca
2020-02,2,pyca
2020-03,5,pyca
2020-04,6,pyca
2020-05,3,pyca
2020-06,4,pyca
2020-07,6,pyca
2020-08,6,pyca
2020-09,4,pyca
2020-10,5,pyca
2020-11,6,pyca
2020-12,5,pyca
2021-01,6,pyca
2021-02,7,pyca
2021-03,3,pyca
2021-04,5,pyca
2021-05,7,pyca
2021-06,4,pyca
2021-07,5,pyca
2021-08,5,pyca
2021-09,5,pyca
2021-10,6,pyca
2021-11,6,pyca
2021-12,5,pyca
2022-01,5,pyca
2022-02,6,pyca
2022-03,6,pyca
2022-04,4,pyca
2022-05,5,pyca
2022-06,6,pyca
2022-07,5,pyca
2022-08,5,pyca
2022-09,5,pyca
2022-10,4,pyca
2022-11,5,pyca
2022-12,5,pyca
2023-01,5,pyca
2023-02,4,pyca
2023-03,5,pyca
2023-04,5,pyca
2023-05,5,pyca
2023-06,5,pyca
2023-07,4,pyca
2023-08,5,pyca
2023-09,6,pyca
2023-10,7,pyca
2023-11,5,pyca
2023-12,6,pyca
2024-01,5,pyca
2024-02,5,pyca
2024-03,4,pyca
2024-04,4,pyca
2012-01,3,qos-ch
2012-02,2,qos-ch
2012-03,4,qos-ch
2012-04,4,qos-ch
2012-05,5,qos-ch
2012-06,6,qos-ch
2012-07,6,qos-ch
2012-08,3,qos-ch
2012-09,4,qos-ch
2012-10,2,qos-ch
2012-11,3,qos-ch
2012-12,4,qos-ch
2013-01,4,qos-ch
2013-02,5,qos-ch
2013-03,3,qos-ch
2013-04,4,qos-ch
2013-05,2,qos-ch
2013-06,2,qos-ch
2013-07,3,qos-ch
2013-08,2,qos-ch
2013-09,2,qos-ch
2013-10,3,qos-ch
2013-11,3,qos-ch
2013-12,2,qos-ch
2014-01,1,qos-ch
2014-02,3,qos-ch
2014-03,4,qos-ch
2014-04,3,qos-ch
2014-05,1,qos-ch
2014-06,1,qos-ch
2014-07,2,qos-ch
2014-08,2,qos-ch
2014-09,4,qos-ch
2014-10,1,qos-ch
2014-11,2,qos-ch
2014-12,3,qos-ch
2015-01,2,qos-ch
2015-02,2,qos-ch
2015-03,3,qos-ch
2015-04,2,qos-ch
2015-05,1,qos-ch
2015-06,2,qos-ch
2015-07,4,qos-ch
2015-09,1,qos-ch
2015-10,2,qos-ch
2015-11,2,qos-ch
2015-12,1,qos-ch
2016-01,2,qos-ch
2016-02,2,qos-ch
2016-03,2,qos-ch
2016-04,3,qos-ch
2016-05,2,qos-ch
2016-06,1,qos-ch
2016-09,1,qos-ch
2016-11,2,qos-ch
2016-12,2,qos-ch
2017-01,3,qos-ch
2017-02,2,qos-ch
2017-03,2,qos-ch
2017-04,2,qos-ch
2017-06,2,qos-ch
2017-10,2,qos-ch
2017-11,2,qos-ch
2017-12,2,qos-ch
2018-01,2,qos-ch
2018-02,2,qos-ch
2018-03,2,qos-ch
2018-05,2,qos-ch
2018-06,1,qos-ch
2018-07,1,qos-ch
2018-08,1,qos-ch
2018-09,1,qos-ch
2019-02,1,qos-ch
2019-03,1,qos-ch
2019-04,2,qos-ch
2019-05,1,qos-ch
2019-06,1,qos-ch
2019-07,2,qos-ch
2019-08,2,qos-ch
2019-09,2,qos-ch
2019-10,2,qos-ch
2019-11,2,qos-ch
2019-12,1,qos-ch
2020-01,2,qos-ch
2020-02,1,qos-ch
2020-08,1,qos-ch
2020-10,1,qos-ch
2021-02,1,qos-ch
2021-03,1,qos-ch
2021-06,2,qos-ch
2021-07,2,qos-ch
2021-08,2,qos-ch
2021-09,2,qos-ch
2021-11,1,qos-ch
2021-12,2,qos-ch
2022-01,3,qos-ch
2022-02,3,qos-ch
2022-03,2,qos-ch
2022-04,4,qos-ch
2022-05,4,qos-ch
2022-06,3,qos-ch
2022-07,5,qos-ch
2022-08,4,qos-ch
2022-09,5,qos-ch
2022-10,4,qos-ch
2022-11,4,qos-ch
2022-12,4,qos-ch
2023-01,2,qos-ch
2023-02,1,qos-ch
2023-03,5,qos-ch
2023-04,2,qos-ch
2023-05,3,qos-ch
2023-06,3,qos-ch
2023-07,4,qos-ch
2023-08,5,qos-ch
2023-09,3,qos-ch
2023-10,1,qos-ch
2023-11,3,qos-ch
2023-12,4,qos-ch
2024-01,4,qos-ch
2024-02,5,qos-ch
2024-03,4,qos-ch
2024-04,6,qos-ch
2012-01,11,rubygems
2012-02,13,rubygems
2012-03,16,rubygems
2012-04,9,rubygems
2012-05,11,rubygems
2012-06,8,rubygems
2012-07,11,rubygems
2012-08,11,rubygems
2012-09,9,rubygems
2012-10,15,rubygems
2012-11,15,rubygems
2012-12,15,rubygems
2013-01,17,rubygems
2013-02,23,rubygems
2013-03,18,rubygems
2013-04,16,rubygems
2013-05,12,rubygems
2013-06,12,rubygems
2013-07,18,rubygems
2013-08,17,rubygems
2013-09,15,rubygems
2013-10,15,rubygems
2013-11,13,rubygems
2013-12,15,rubygems
2014-01,14,rubygems
2014-02,17,rubygems
2014-03,12,rubygems
2014-04,12,rubygems
2014-05,16,rubygems
2014-06,17,rubygems
2014-07,21,rubygems
2014-08,18,rubygems
2014-09,15,rubygems
2014-10,18,rubygems
2014-11,19,rubygems
2014-12,16,rubygems
2015-01,19,rubygems
2015-02,18,rubygems
2015-03,17,rubygems
2015-04,18,rubygems
2015-05,19,rubygems
2015-06,21,rubygems
2015-07,20,rubygems
2015-08,20,rubygems
2015-09,16,rubygems
2015-10,17,rubygems
2015-11,21,rubygems
2015-12,22,rubygems
2016-01,19,rubygems
2016-02,17,rubygems
2016-03,20,rubygems
2016-04,19,rubygems
2016-05,21,rubygems
2016-06,18,rubygems
2016-07,11,rubygems
2016-08,16,rubygems
2016-09,18,rubygems
2016-10,15,rubygems
2016-11,17,rubygems
2016-12,16,rubygems
2017-01,20,rubygems
2017-02,15,rubygems
2017-03,16,rubygems
2017-04,16,rubygems
2017-05,15,rubygems
2017-06,17,rubygems
2017-07,14,rubygems
2017-08,19,rubygems
2017-09,13,rubygems
2017-10,13,rubygems
2017-11,11,rubygems
2017-12,17,rubygems
2018-01,12,rubygems
2018-02,15,rubygems
2018-03,14,rubygems
2018-04,15,rubygems
2018-05,14,rubygems
2018-06,16,rubygems
2018-07,14,rubygems
2018-08,10,rubygems
2018-09,12,rubygems
2018-10,17,rubygems
2018-11,14,rubygems
2018-12,16,rubygems
2019-01,13,rubygems
2019-02,12,rubygems
2019-03,10,rubygems
2019-04,10,rubygems
2019-05,11,rubygems
2019-06,13,rubygems
2019-07,11,rubygems
2019-08,9,rubygems
2019-09,9,rubygems
2019-10,11,rubygems
2019-11,10,rubygems
2019-12,9,rubygems
2020-01,10,rubygems
2020-02,12,rubygems
2020-03,12,rubygems
2020-04,12,rubygems
2020-05,12,rubygems
2020-06,13,rubygems
2020-07,13,rubygems
2020-08,8,rubygems
2020-09,9,rubygems
2020-10,10,rubygems
2020-11,9,rubygems
2020-12,8,rubygems
2021-01,9,rubygems
2021-02,9,rubygems
2021-03,9,rubygems
2021-04,9,rubygems
2021-05,8,rubygems
2021-06,8,rubygems
2021-07,8,rubygems
2021-08,10,rubygems
2021-09,8,rubygems
2021-10,11,rubygems
2021-11,7,rubygems
2021-12,7,rubygems
2022-01,9,rubygems
2022-02,9,rubygems
2022-03,9,rubygems
2022-04,9,rubygems
2022-05,8,rubygems
2022-06,9,rubygems
2022-07,10,rubygems
2022-08,7,rubygems
2022-09,8,rubygems
2022-10,7,rubygems
