time_period,org_name,running_total_open_issues,release_count,unique_contributors,avg_commits_per_contributor,average_closure_days,unique_pull_requests,open_pull_requests,closed_pull_requests,treated
2016-01-01,tc39,280.0,1.0,3.0,232.2926829268293,125.21044297138047,90.0,0.0,90.0,0
2016-02-01,tc39,303.0,1.0,3.0,53.43243243243244,152.48619493546576,117.0,0.0,117.0,0
2016-03-01,tc39,348.0,1.0,2.0,143.75510204081633,199.31439516129032,126.0,6.0,120.0,0
2016-04-01,tc39,380.0,1.0,9.0,63.34285714285714,284.2801225490196,75.0,1.0,74.0,0
2016-05-01,tc39,402.0,3.0,2.0,120.86486486486488,228.92329786918327,87.0,2.0,85.0,0
2016-06-01,tc39,430.0,,3.0,64.3170731707317,187.2166286149163,90.0,0.0,90.0,0
2016-07-01,tc39,438.0,1.0,2.0,38.46666666666667,176.10008774763136,66.0,3.0,63.0,0
2016-08-01,tc39,456.0,,1.0,8.595238095238095,204.02238940329215,59.0,1.0,58.0,0
2016-09-01,tc39,471.0,,4.0,14.243243243243244,178.69660558902277,47.0,0.0,47.0,0
2016-10-01,tc39,509.0,,4.0,14.321428571428571,160.01806054131055,35.0,1.0,34.0,0
2016-11-01,tc39,515.0,,4.0,13.97222222222222,63.29081815421979,40.0,0.0,40.0,0
2016-12-01,tc39,518.0,2.0,1.0,10.848484848484848,225.43899901795731,46.0,1.0,45.0,0
2017-01-01,tc39,575.0,,1.0,11.063829787234043,201.25348572530865,80.0,1.0,79.0,0
2017-02-01,tc39,604.0,,4.0,16.93548387096774,203.1460726553166,55.0,0.0,55.0,0
2017-03-01,tc39,591.0,,2.0,90.25454545454544,182.4385859674329,105.0,1.0,104.0,0
2017-04-01,tc39,604.0,,1.0,262.7391304347826,163.52726748511904,106.0,0.0,106.0,0
2017-05-01,tc39,643.0,,,120.25,310.5120929232804,69.0,0.0,69.0,0
2017-06-01,tc39,650.0,,1.0,111.5,201.5306656298225,104.0,0.0,104.0,0
2017-07-01,tc39,741.0,,5.0,34.953125,264.69937626681406,101.0,0.0,101.0,0
2017-08-01,tc39,794.0,,1.0,30.630434782608692,198.5392649941608,68.0,0.0,68.0,0
2017-09-01,tc39,827.0,,,60.44230769230769,314.5378175368656,115.0,0.0,115.0,0
2017-10-01,tc39,853.0,,2.0,80.5576923076923,249.09561457187385,123.0,0.0,123.0,0
2017-11-01,tc39,877.0,,1.0,36.26190476190476,324.6817839600271,77.0,0.0,77.0,0
2017-12-01,tc39,900.0,,1.0,95.08108108108108,194.80299619708995,81.0,1.0,80.0,0
2018-01-01,tc39,974.0,,3.0,130.13793103448276,264.3466186587115,116.0,1.0,115.0,0
2018-02-01,tc39,1023.0,,2.0,704.4897959183673,259.1172667378917,131.0,0.0,131.0,0
2018-03-01,tc39,1090.0,,1.0,58.513888888888886,313.0636681832695,141.0,2.0,139.0,0
2018-04-01,tc39,1117.0,,3.0,101.26785714285714,237.08620532623743,123.0,0.0,123.0,0
2018-05-01,tc39,1192.0,,2.0,27.20634920634921,250.44690956475185,152.0,0.0,152.0,0
2018-06-01,tc39,1220.0,,2.0,30.379310344827587,201.7304285778497,125.0,1.0,124.0,0
2018-07-01,tc39,1255.0,,4.0,113.0625,330.55593329124576,173.0,0.0,173.0,0
2018-08-01,tc39,1320.0,,3.0,102.53846153846152,249.41350829885735,93.0,1.0,92.0,0
