month,unique_pull_requests,open_pull_requests,closed_pull_requests,org_name
2019-07,22,0,22,rustls
2019-08,10,0,10,rustls
2019-09,9,0,9,rustls
2019-10,10,0,10,rustls
2019-11,6,0,6,rustls
2019-12,7,0,7,rustls
2020-01,6,1,5,rustls
2020-02,7,0,7,rustls
2020-03,5,0,5,rustls
2020-04,10,1,9,rustls
2020-05,3,0,3,rustls
2020-06,7,0,7,rustls
2020-07,2,0,2,rustls
2020-08,4,1,3,rustls
2020-09,2,0,2,rustls
2020-10,12,0,12,rustls
2020-11,16,0,16,rustls
2020-12,25,0,25,rustls
2021-01,24,0,24,rustls
2021-02,91,1,90,rustls
2021-03,68,0,68,rustls
2021-04,68,0,68,rustls
2021-05,32,0,32,rustls
2021-06,40,0,40,rustls
2021-07,17,0,17,rustls
2021-08,11,0,11,rustls
2021-09,36,0,36,rustls
2021-10,18,0,18,rustls
2021-11,66,0,66,rustls
2021-12,28,0,28,rustls
2022-01,56,0,56,rustls
2022-02,12,0,12,rustls
2022-03,11,0,11,rustls
2022-04,10,0,10,rustls
2022-05,18,0,18,rustls
2022-06,22,0,22,rustls
2022-07,14,0,14,rustls
2022-08,8,0,8,rustls
2022-09,13,0,13,rustls
2022-10,22,0,22,rustls
2022-11,14,0,14,rustls
2022-12,30,0,30,rustls
2023-01,42,0,42,rustls
2023-02,23,0,23,rustls
2023-03,99,0,99,rustls
2023-04,34,0,34,rustls
2023-05,31,0,31,rustls
2023-06,62,1,61,rustls
2023-07,90,0,90,rustls
2023-08,90,0,90,rustls
2023-09,125,5,120,rustls
2023-10,87,1,86,rustls
2023-11,161,1,160,rustls
2023-12,96,2,94,rustls
2024-01,81,3,78,rustls
2024-02,94,2,92,rustls
2024-03,121,3,118,rustls
2024-04,72,5,67,rustls
2012-09,1,0,1,systemd
2012-12,1,0,1,systemd
2013-09,1,0,1,systemd
2014-05,6,0,6,systemd
2014-11,2,0,2,systemd
2015-02,1,0,1,systemd
2015-03,2,0,2,systemd
2015-04,1,0,1,systemd
2015-05,1,0,1,systemd
2015-06,305,0,305,systemd
2015-07,229,0,229,systemd
2015-08,175,0,175,systemd
2015-09,218,0,218,systemd
2015-10,207,0,207,systemd
2015-11,235,0,235,systemd
2015-12,107,0,107,systemd
2016-01,148,0,148,systemd
2016-02,168,1,167,systemd
2016-03,88,0,88,systemd
2016-04,156,0,156,systemd
2016-05,149,0,149,systemd
2016-06,152,0,152,systemd
2016-07,138,0,138,systemd
2016-08,132,0,132,systemd
2016-09,102,0,102,systemd
2016-10,186,0,186,systemd
2016-11,135,0,135,systemd
2016-12,130,0,130,systemd
2017-01,108,0,108,systemd
2017-02,197,0,197,systemd
2017-03,105,1,104,systemd
2017-04,98,0,98,systemd
2017-05,123,1,122,systemd
2017-06,141,1,140,systemd
2017-07,165,0,165,systemd
2017-08,128,0,128,systemd
2017-09,186,0,186,systemd
2017-10,176,1,175,systemd
2017-11,208,1,207,systemd
2017-12,169,1,168,systemd
2018-01,201,2,199,systemd
2018-02,162,0,162,systemd
2018-03,193,1,192,systemd
2018-04,134,3,131,systemd
2018-05,185,0,185,systemd
2018-06,231,0,231,systemd
2018-07,157,0,157,systemd
2018-08,123,0,123,systemd
2018-09,137,2,135,systemd
2018-10,261,0,261,systemd
2018-11,306,0,306,systemd
2018-12,225,0,225,systemd
2019-01,240,2,238,systemd
2019-02,200,3,197,systemd
2019-03,239,1,238,systemd
2019-04,205,0,205,systemd
2019-05,212,2,210,systemd
2019-06,150,3,147,systemd
2019-07,252,2,250,systemd
2019-08,132,1,131,systemd
2019-09,141,0,141,systemd
2019-10,149,2,147,systemd
2019-11,208,1,207,systemd
2019-12,154,4,150,systemd
2020-01,181,1,180,systemd
2020-02,158,1,157,systemd
2020-03,200,0,200,systemd
2020-04,265,2,263,systemd
2020-05,245,0,245,systemd
2020-06,228,0,228,systemd
2020-07,262,1,261,systemd
2020-08,202,0,202,systemd
2020-09,209,1,208,systemd
2020-10,178,3,175,systemd
2020-11,170,2,168,systemd
2020-12,268,2,266,systemd
2021-01,272,1,271,systemd
2021-02,332,5,327,systemd
2021-03,279,2,277,systemd
2021-04,232,0,232,systemd
2021-05,214,3,211,systemd
2021-06,248,1,247,systemd
2021-07,181,1,180,systemd
2021-08,190,4,186,systemd
2021-09,235,3,232,systemd
2021-10,247,0,247,systemd
2021-11,347,6,341,systemd
2021-12,276,5,271,systemd
2022-01,286,3,283,systemd
2022-02,258,2,256,systemd
2022-03,263,9,254,systemd
2022-04,214,3,211,systemd
2022-05,280,1,279,systemd
2022-06,211,4,207,systemd
2022-07,256,1,255,systemd
2022-08,335,2,333,systemd
2022-09,319,4,315,systemd
2022-10,271,8,263,systemd
2022-11,293,15,278,systemd
2022-12,214,6,208,systemd
2023-01,326,5,321,systemd
2023-02,298,5,293,systemd
2023-03,420,8,412,systemd
2023-04,393,7,386,systemd
2023-05,368,4,364,systemd
2023-06,298,11,287,systemd
2023-07,347,12,335,systemd
2023-08,397,6,391,systemd
2023-09,348,2,346,systemd
2023-10,387,14,373,systemd
2023-11,417,13,404,systemd
2023-12,378,6,372,systemd
2024-01,494,17,477,systemd
2024-02,356,13,343,systemd
2024-03,483,25,458,systemd
2024-04,336,31,305,systemd
2013-06,1,0,1,tc39
2013-07,12,0,12,tc39
2013-08,2,0,2,tc39
2013-09,1,0,1,tc39
2013-11,1,0,1,tc39
2013-12,1,0,1,tc39
2014-01,33,0,33,tc39
2014-02,3,0,3,tc39
2014-03,4,0,4,tc39
2014-04,11,0,11,tc39
2014-05,8,0,8,tc39
2014-06,3,0,3,tc39
2014-07,23,0,23,tc39
2014-08,20,0,20,tc39
2014-09,22,0,22,tc39
2014-10,29,0,29,tc39
2014-11,11,0,11,tc39
2014-12,17,0,17,tc39
2015-01,17,0,17,tc39
2015-02,36,0,36,tc39
2015-03,43,0,43,tc39
2015-04,41,0,41,tc39
2015-05,72,0,72,tc39
2015-06,64,0,64,tc39
2015-07,102,0,102,tc39
2015-08,61,0,61,tc39
2015-09,45,0,45,tc39
2015-10,75,0,75,tc39
2015-11,71,0,71,tc39
2015-12,63,0,63,tc39
2016-01,90,0,90,tc39
2016-02,117,0,117,tc39
2016-03,126,6,120,tc39
2016-04,75,1,74,tc39
2016-05,87,2,85,tc39
2016-06,90,0,90,tc39
2016-07,66,3,63,tc39
2016-08,59,1,58,tc39
2016-09,47,0,47,tc39
2016-10,35,1,34,tc39
2016-11,40,0,40,tc39
2016-12,46,1,45,tc39
2017-01,80,1,79,tc39
2017-02,55,0,55,tc39
2017-03,105,1,104,tc39
2017-04,106,0,106,tc39
2017-05,69,0,69,tc39
2017-06,104,0,104,tc39
2017-07,101,0,101,tc39
2017-08,68,0,68,tc39
2017-09,115,0,115,tc39
2017-10,123,0,123,tc39
2017-11,77,0,77,tc39
2017-12,81,1,80,tc39
2018-01,116,1,115,tc39
2018-02,131,0,131,tc39
2018-03,141,2,139,tc39
2018-04,123,0,123,tc39
2018-05,152,0,152,tc39
2018-06,125,1,124,tc39
2018-07,173,0,173,tc39
2018-08,93,1,92,tc39
2018-09,149,1,148,tc39
2018-10,184,3,181,tc39
2018-11,144,0,144,tc39
2018-12,99,1,98,tc39
2019-01,260,2,258,tc39
2019-02,77,0,77,tc39
2019-03,160,1,159,tc39
2019-04,109,7,102,tc39
2019-05,174,0,174,tc39
2019-06,170,5,165,tc39
2019-07,178,4,174,tc39
2019-08,118,1,117,tc39
2019-09,141,1,140,tc39
2019-10,203,5,198,tc39
2019-11,152,4,148,tc39
2019-12,90,2,88,tc39
2020-01,132,0,132,tc39
2020-02,168,2,166,tc39
2020-03,238,5,233,tc39
2020-04,202,4,198,tc39
2020-05,233,0,233,tc39
2020-06,235,2,233,tc39
2020-07,303,9,294,tc39
2020-08,156,3,153,tc39
2020-09,239,3,236,tc39
2020-10,180,2,178,tc39
2020-11,207,10,197,tc39
2020-12,86,6,80,tc39
2021-01,190,7,183,tc39
2021-02,172,9,163,tc39
2021-03,140,7,133,tc39
2021-04,172,3,169,tc39
2021-05,176,11,165,tc39
2021-06,153,2,151,tc39
2021-07,245,2,243,tc39
2021-08,193,4,189,tc39
2021-09,168,3,165,tc39
2021-10,200,2,198,tc39
2021-11,156,0,156,tc39
2021-12,151,4,147,tc39
2022-01,140,1,139,tc39
2022-02,131,9,122,tc39
2022-03,218,5,213,tc39
2022-04,160,6,154,tc39
2022-05,173,4,169,tc39
2022-06,221,8,213,tc39
2022-07,248,13,235,tc39
2022-08,125,3,122,tc39
2022-09,169,6,163,tc39
2022-10,98,4,94,tc39
2022-11,151,8,143,tc39
2022-12,90,12,78,tc39
2023-01,167,8,159,tc39
2023-02,69,4,65,tc39
2023-03,147,0,147,tc39
2023-04,104,2,102,tc39
2023-05,130,8,122,tc39
2023-06,150,9,141,tc39
2023-07,125,6,119,tc39
2023-08,114,9,105,tc39
2023-09,136,9,127,tc39
2023-10,86,14,72,tc39
2023-11,120,13,107,tc39
2023-12,90,5,85,tc39
2024-01,160,14,146,tc39
2024-02,118,11,107,tc39
2024-03,159,24,135,tc39
2024-04,98,29,69,tc39
2013-10,6,0,6,uutils
2013-11,4,0,4,uutils
2013-12,21,0,21,uutils
2014-01,14,0,14,uutils
2014-02,33,0,33,uutils
2014-03,18,0,18,uutils
2014-04,9,0,9,uutils
2014-05,35,0,35,uutils
2014-06,86,0,86,uutils
2014-07,43,0,43,uutils
2014-08,7,0,7,uutils
2014-09,20,0,20,uutils
2014-10,24,0,24,uutils
2014-11,24,0,24,uutils
2014-12,17,0,17,uutils
2015-01,30,0,30,uutils
2015-02,9,0,9,uutils
2015-03,3,0,3,uutils
2015-04,22,0,22,uutils
2015-05,66,0,66,uutils
2015-06,11,0,11,uutils
2015-07,23,0,23,uutils
2015-08,11,0,11,uutils
2015-09,8,0,8,uutils
2015-10,8,0,8,uutils
2015-11,21,0,21,uutils
2015-12,34,0,34,uutils
2016-01,23,0,23,uutils
2016-02,15,0,15,uutils
2016-03,17,0,17,uutils
2016-04,10,0,10,uutils
2016-05,15,0,15,uutils
