month,unique_contributors,org_name
2019-12,56,php
2020-01,59,php
2020-02,46,php
2020-03,44,php
2020-04,46,php
2020-05,48,php
2020-06,55,php
2020-07,54,php
2020-08,57,php
2020-09,64,php
2020-10,48,php
2020-11,67,php
2020-12,63,php
2021-01,92,php
2021-02,72,php
2021-03,79,php
2021-04,99,php
2021-05,92,php
2021-06,85,php
2021-07,79,php
2021-08,89,php
2021-09,88,php
2021-10,82,php
2021-11,98,php
2021-12,90,php
2022-01,68,php
2022-02,60,php
2022-03,75,php
2022-04,76,php
2022-05,75,php
2022-06,83,php
2022-07,105,php
2022-08,90,php
2022-09,78,php
2022-10,82,php
2022-11,76,php
2022-12,92,php
2023-01,72,php
2023-02,80,php
2023-03,74,php
2023-04,64,php
2023-05,87,php
2023-06,86,php
2023-07,89,php
2023-08,98,php
2023-09,78,php
2023-10,92,php
2023-11,85,php
2023-12,71,php
2024-01,83,php
2024-02,73,php
2024-03,69,php
2024-04,38,php
2019-07,2,prefix-dev
2020-02,1,prefix-dev
2020-04,2,prefix-dev
2020-05,196,prefix-dev
2020-06,196,prefix-dev
2020-07,128,prefix-dev
2020-08,73,prefix-dev
2020-09,82,prefix-dev
2020-10,101,prefix-dev
2020-11,82,prefix-dev
2020-12,87,prefix-dev
2021-01,88,prefix-dev
2021-02,79,prefix-dev
2021-03,83,prefix-dev
2021-04,83,prefix-dev
2021-05,267,prefix-dev
2021-06,261,prefix-dev
2021-07,146,prefix-dev
2021-08,117,prefix-dev
2021-09,117,prefix-dev
2021-10,149,prefix-dev
2021-11,137,prefix-dev
2021-12,129,prefix-dev
2022-01,128,prefix-dev
2022-02,126,prefix-dev
2022-03,140,prefix-dev
2022-04,124,prefix-dev
2022-05,167,prefix-dev
2022-06,155,prefix-dev
2022-07,161,prefix-dev
2022-08,189,prefix-dev
2022-09,197,prefix-dev
2022-10,206,prefix-dev
2022-11,197,prefix-dev
2022-12,205,prefix-dev
2023-01,216,prefix-dev
2023-02,240,prefix-dev
